In ce an s-a nascut ;1910;1850;1881;1900;A;George Bacovia se naste pe 17 septembrie 1881, la Bacau.
2; Sburatorul; Convorbiri literare; Literatorul; Dacia literara;A;George Bacovia debuteaza ”n anul 1899 ”n revista lui Alexandru Macedonski, Literatorul,acolo unde se va sincroniza cu modalita_ile lirice universale.
3; romantism; simbolism; expresionism; naturalism;A;Desi simbolismul se consuma, ”n literatura europeana, pana ”n 1915, o data cu Bacovia areloc si apogeul, dar si declinul simbolismului romanesc. Declinul simbolismului este marcatde cel mai valoros poet simbolist, ale carui poezii prezinta si accente expresioniste,exprimate, ”nsa, prin material simbolist. Astfel ca, desi crea_ia sa valorifica materiale esteticesimboliste, discursul sau liric este strabatut de un fior expresionist.
4; Romania; Anglia; Germania; Fran_a;A;Simbolismul apare ”n Fran_a, o _ara unde la sfarsitul secolului XIX, ca reac_ie laartificialitatea parnasianismului, sentimentalismului, dar si a realismului.
5; George Bacovia; Ion Minulescu; Alexandru Macedonski; Stefan Petica;A;Alexandru Macedonski a fost poetul de tranzi_ie ”ntre romantism si simbolism, curent pe carel-a teoretizat atat ”n literatura romana, cat si ”n cea europeana.
6; poporanism; suprarealism; tradi_ionalism; modernism;A;Matei Calinescu considera ca o data cu poezia simbolista, literatura romana se apropie demodernism printr-o noua viziune poetica, un nou tip de sensibilitate, dar si prin trecerea dela un limbaj tranzitiv la unul aluziv. Asadar, Bacovia
7; Coresponden_a; Dialogul; Sugestia; Instrumentalismul;A;ïn lirica simbolista apar tehnici noi de exprimare a sentimentelor. Coresponden_a are caobiect o rela_ie simbolica ”ntre simboluri si sentimente. Sugestia are rolul de a transmiteimaginea unui obiect sentiment fara a-l numi, iar instrumentalismul consta ”n folosireasunetelor ca reprezentante ale sentimentelor omenesti.
8; o metoda de umplere a spa_iului; o inova_ie epica; o inova_ie prozodica; o metoda rapida de memorare;A;Versul refren consta ”n repetare, la distan_e aproximativ simetrice, a unui vers. Acest lucrureprezinta o inova_ie la nivel prozodic, specifica poeziei simboliste.
9; Coresponden_a; Muzicalitatea; Tema; Viziunea;A;Muzicalitatea reprezinta o alta trasatura surprinzatoare a simbolismului. Astfel ca asocierilede vocale sau consoane, valorificarea semantica si sonora a cuvintelor, dar si versul refrenau rolul de a reda aceasta trasatura, la nivel fonetic.
10; influen_a clasica; epigonismul eminescian; influen_a pasoptista; literatura religioasa;A;Perioada 1889-1916 a reprezentat o perioada de declin ”n literatura romana. Dupa moartealui Eminescu, majoritatea poe_ilor (precum Alexandru Vlahu_a) sunt incapabili sadepaseasca modelul romantic. Acesta tendin_a s-a numit epigonism eminescian, iar odata culirica lui Bacovia, literatura romana iese din umbra modelului romantic.
11; prin folosirea culorilor; prin motivul plumbului; prin condi_ia damnatului; prin motivul solitudinii;A;Din punctul de vedere al lui Ovid S. Crohmalniceanu, dintre toate motivele, temele,simbolurile, unul singur se regaseste doar la Bacovia: plumbul. Bacovia foloseste acest metalpentru a face coresponden_a cu numeroase imagini existen_iale si stari interioare.
12; ostila; ideala; sufocanta; fericita;A;Asa cum putem observa si ”n poezia Plumb, Bacovia contureaza imaginea unei lumisufocante, ostile, o imagine apocaliptica din care nu poate evada decat prin interiorizare.Pentru Bacovia, interiorizarea ”ntr-o lume proprie, ”nchisa, reprezinta o urmare aimposibilita_ii adaptarii ”n societatea degradata, agonica, dezordonata, ”n disolu_ie.
13; sinucidearea; interiorizarea; exteriorizarea; fuga;A;Lumea vazuta prin intermediul universului poetic bacovian este una sumbra, ”n care fiin_apoetica se interiorizeaza, se izoleaza ”n sine ca urmare a imposibilita_ii comunicarii.
14; nunta; fuga; plansul; moartea;A;ïn urma interiorizarii, eul poetic bacovian traieste un sentiment de alienare, ”n urma caruiamoartea reprezinta singura forma de evadarea din universul claustrant.
